"On February 1, a man dispatched the following letter to a mechanic:""My car has not been running very well lately. I'll pay you $275 if you will change the oil, replace the oil filter, and adjust the carburetors by February 10. ""The mechanic received the man's letter on February 3. That same day, he telephoned an auto supply company and ordered the necessary materials to perform the repair work. Two days later, the mechanic met the man at a party and this conversation took place:The man: ""Disregard the letter I sent you last week. ""The mechanic: ""No way, man, I already ordered the materials on from the auto supply company. ""The man: ""Sorry, but I sold my car yesterday, so forget the repair work. ""If the mechanic initiates suit for breach of contract, which of the following is the man's strongest argument that no enforceable contract was formed between the parties?",The mechanic had not completed performance before the man revoked his offer.,The man's offer could only be accepted by a return promise.,"Because the man made his offer by letter, the mechanic could accept only in the same manner.","Although the mechanic was preparing to perform the repair work, he had not begun the requested acts of acceptance when the man revoked his offer.",D
"A homeowner died in 1985. His will devised his estate in a southern state to his uncle and his best friend ""to share and share alike as tenants in common. ""At the time of the homeowner's death, the uncle lived in a different part of the southern state (in which the estate was located), while the best friend resided in a northern state. After the homeowner's funeral, the uncle returned to his own residence, but the best friend decided to occupy the estate. He put his name on the mailbox and has paid the taxes and maintenance expenses. To earn extra money, the best friend rented a small house on the property to a teacher and received a monthly rental payment from her. The best friend also grew fruits on the property and sold them at a stand on Fridays. The uncle has been generally aware of this, but because he cared little about the estate, the uncle has never pressed the best friend about the property. Since 1985 the uncle has not paid any rent or other compensation to the best friend, nor has the best friend requested such payment. In January 2010, a series of disputes arose between the uncle and the best friend for the first time concerning their respective rights to the estate. The state in which the property is located recognizes the usual common law types of cotenancies and follows majority rules on rents and profits. There is no applicable legislation on the subject. The uncle brings an appropriate action for a portion of the proceeds that the best friend received from his fruit stand and a portion of the rent that the teacher paid. If the best friend contests the apportionment of the monies he received, judgment should be for whom?","As a cotenant in possession, the best friend retains the profits from his crops and the rents paid by the teacher.","As a cotenant in possession, the best friend retains the profits from his crops, and the uncle is entitled to a share of the rent paid by the teacher.",The uncle is entitled to a share of the rent that the teacher paid and the profits from the best friend's crops.,The uncle is entitled to no share of any of the monies raised because the uncle's lack of contact with the best friend will be deemed a waiver.,B
"A county owns a large expanse of land next to the ocean. Four years ago, in order to enhance the recreational aspects of this land, the county leased most of it to a company. The lease required the company to construct and operate a first-rate luxury hotel complete with bar, restaurant, and private marina and to pay the county 15% of its net profits as rent. The company set up management and operations bylaws for its new hotel, which were reviewed and approved by the county at the time the lease was negotiated. Upon completion of the facilities, the state granted the company a license to sell alcoholic beverages in its restaurant and bar. The hotel announced that the least expensive room was $1,000 per night. Much of the population in the county cannot afford to stay at the new hotel. One resident who cannot afford to pay the hotel fees brings an action against the company, claiming that the high fees operate to discriminate against the poor, in violation of the constitutional right to equal protection. What is the most likely result of this action?",The company will lose because social class constitutes a suspect classification under the equal protection clause.,"The company will win, because hotel privileges are not an important or basic enough deprivation, for those unable to pay for them, to be held to violate equal protection.",The resident will win because all public rights cannot be limited to those who can afford them.,The resident will win because discrimination against poor people violates the equal protection clause of the Fourteenth Amendment.,B
"A developer, owner of several hundred acres in a rural part of the county, drafted a general development plan for the area. The duly recorded plan imposed elaborate limitations and restrictions upon the land in the plan, which was to be developed as a residential district. The restrictions were to extend to all persons acquiring any of the lots and to their heirs, assigns, and lessees. It was further provided that all subsequent owners would be charged with due notice of the restrictions. Among those restrictions in the general plan were the following:(22) A franchise right is created in a strip of land 10 feet in width along the rear of each lot for the use of public utility companies with right of ingress and egress. (23) No house or structure of any kind shall be built on the aforementioned strip of land running through the said blocks. The franchise right created for public utilitycompanies would most likely be an example of a(an)",license.,equitable servitude.,easement appurtenant.,easement in gross.,D
"An auto mechanic was repairing a car in his auto. shop when a spark ignited gasoline and oil residue on the floor. The mechanic managed to douse the flames, but not before the fire created giant billows of smoke that floated over onto a neighbor's property and caused the neighbor's home to become discolored. If the neighbor asserts a claim against the mechanic, the neighbor would most likely be able to recover for",strict liability.,negligence.,nuisance.,trespass.,B
"Knowing that a homeowner was away on vacation, two men decided to burglarize her home. Since they didn't have a car, the men asked the defendant to drive them to the home. The two men did not tell the defendant what they intended to do there. The defendant drove them to the house. While the defendant waited in the car, the two men entered the home by using a master key to unlock the front door. They then stole several items of expensive jewelry from the bedroom. Concealing the jewelry in their pockets, they left the house and got back into the defendant's car. Unaware of the theft, the defendant drove the two men back to their apartments. The next day, the two men pawned the jewelry for $5,000. Two weeks later, the two men gave the defendant $500 and told him for the first time about the burglary. The defendant kept the money and did not report the theft to the police. If the defendant is subsequently prosecuted, he should be found",guilty of receiving stolen property but not guilty of burglary.,guilty of burglary but not guilty of receiving stolen property.,guilty of burglary and of receiving stolen property.,not guilty of either burglary or receiving stolen property.,D
"A defendant was playing cards with a group of friends at their weekly poker game. Earlier in the evening, one of the players handed the defendant a gun and told him it was unloaded. As a joke, the defendant pointed the gun at one of his friends and pulled the trigger. Unknown to the defendant, the gun was loaded and it discharged. The bullet grazed the friend's shoulder, slightly wounding him. The defendant was charged with assault with intent to kill. In this jurisdiction, battery is a lesser included offense of assault. At trial, the defendant requested that the court instruct the jury that if his mistake was honest, whether reasonable or unreasonable, it would be a valid defense to assault and the lesser included offense of battery. Conversely, the prosecution wanted the court to instruct the jury that in order for the defendant's mistake to be a valid defense for either crime, it must be reasonable. Regarding the jury instructions, which of the following statements is most accurate?","The defendant is correct with respect to assault, and the prosecution is correct with respect to battery.","The defendant is correct with respect to battery, and the prosecution is correct with respect to assault.",The prosecution is correct with respect to both the battery and assault charges.,The defendant is correct with respect to both the battery and assault charges.,A
"In 1940, a state conveyed to a man a tract of land by deed that was immediately recorded. The man died a widower in 1990, devising all of his real property to his son. The will was duly probated shortly thereafter. In 2005, the son conveyed the tract of land to a friend. This deed was not recorded until after the son's death in 2009. The son's will, duly probated following his death, named the friend as sole legatee and devisee of the son's entire estate. In 2008, the son mortgaged the tract of land to the bank. The mortgage instrument, which was recorded in 2008, recited that it was subordinate to a mortgage on the same land given by the son to a rancher in 1988 and recorded in 1988. In that instrument, the son purported to grant the rancher a mortgage on the tract of land. All of the deeds mentioned in the aforementioned transactions are general warranty deeds. In addition, the State of Baden has a notice-type recording statute and follows a title theory for mortgages. What is the probable legal effect of the son's mortgage agreement in 2008 with the bank?","The mortgage would be invalid, because the son conveyed his interest in the property to the friend in 2005.","The mortgage would be invalid, because the first mortgage in 1988 would take precedence over the second mortgage.","The mortgage would be invalid, unless the mortgagee bank had knowledge of the prior conveyance to the friend.","The subsequent mortgagee, the bank, would prevail as against the prior conveyee (the friend), who failed to record before the mortgage was effectuated.",D
"| Driveway--------------------------------------------------------------House | House |-------------------------------------------------------------- | Garage | House--------------------------------------------------------------LOT3 | LOT2 | LOT1 --------------------------------------------------------------(TEACHER) | (NEIGHBOR) | (CO-WORKER | | & BOSS)-------------------------------------------------------------On March 1, 1999, a landowner, the sole owner and occupant of lot 1, died and devised lot ito both his co-worker and his boss ""as their community property. "" The co-worker and boss were siblings, and neither was married. Lot 1 consisted of a single- family house with a yard, garage, and driveway. On May 1, 1999, the boss moved into the house on lot 1. One year later, the co-worker and the boss executed and delivered the following deed instrument to a neighbor "". . . hereby grant to (the neighbor) the northerly 30 feet of lot 1, consisting of the paved driveway now existing, to be used for the ingress and egress of motor vehicles, but should (the neighbor) or his heirs and assigns use said property for any other purpose, all the rights, privileges, and immunities herein granted shall cease and determine. "" In consideration for the said deed, the neighbor paid the co-worker and the boss $2,000 (which they divided equally). The deed was never recorded by the neighbor. Because the boss didn't own a car, she never used the driveway. Similarly, the neighbor never used the driveway because he unexpectedly had his driver's license suspended shortly after executing the above instrument. The boss died intestate on May 1, 2001, leaving her daughter as her sole heir. Following her mother's death, the daughter moved into the house on May 2, 2001. On June 1, 2001 the neighbor sold lot 2 to a professor by a deed that contained no mention of the driveway located on lot 1. The neighbor and the professor assumed that the latter had the right to use the driveway, so they didn't insert any recitations in their deed instrument regarding the driveway. Immediately upon her taking possession of the premises, the daughter began to use the driveway on lot 1. Consequently, she objected to the professor's use of the driveway. After the daughter refused to permit the professor to use the driveway, he brought suit to determine his right to continue use of the driveway. The professor should","win, because he acquired an implied easement to use the driveway as owner of the dominant tenement.","win, because the neighbor's easement to use the driveway was conveyed to the professor.","lose, because the Statute of Frauds was not satisfied.","lose, because the neighbor's non-use of the driveway effectuated an abandonment of the easement.",B
"A retiree, advancing in age, realizes that he is no longer able to farm his 1,000 acres and therefore decides to sell some of the farmland in parcels of 250 acres. The president of a development company is interested in purchasing three of the four parcels. The president buys the three parcels from the retiree and begins formulating plans for constructing single- family dwelling units. The original deed between the retiree and the development company contains a provision expressly binding ""upon all subsequent grantees, their heirs, and assigns,"" stipulating that any further subdivisions by any such persons shall be restricted to minimum two-acre lots to be used for single-family dwelling units only. The development company immediately subdivided two of the parcels into lots of three, four, and five acres, and began construction of homes thereon. The original deed restrictions were enumerated within the special warranty deeds and were given to the purchasers of the homes in the new development, called tract I. Two years later, the president sold the remaining 250-acre parcel, which had not been included in the tract 1 subdivision plan, to a contractor. The deed between the president and the contractor included the same restriction as was in the original deed between the retiree and the president. The contractor, in turn, drafted a subdivision plan for the last 250-acre parcel, dividing it into one-acre lots. The contractor then commenced construction of single- family dwelling units in the new development, to be known as tract 2. There was no mention of the restriction for two-acre minimum lots in the deeds to the purchasers of the new homes in tract 2. In a subsequent action to enjoin the contractor from subdividing the parcel into one-acre lots by any of the present owners of lots in the tract 1 development, the most probable judicial determination would be",that the action should be dismissed because the owners lack standing to sue.,that the action should be dismissed because there is no privity of estate between the owners of the lots in tract 1 and the contractor.,that the action would be successful if tract 2 were considered by the court as part of a common development scheme.,that the action would be successful because the restrictions in the original deed between the retiree and the president will be enforceable.,D
In which situation would the defendant most likely be guilty of murder?,"As a practical joke, the defendant throws a firecracker in a crowded movie theater. A victim, who has a weak heart, becomes frightened and thinks someone is firing a gun. The victim suffers a heart attack and dies.","The defendant hates her husband after learning that he is having an affair with her best friend. She also knows that her husband owes a man a large amount of money, which he refuses to pay. Before the husband is about to leave for work, the defendant looks out the window and sees the man hiding outside with a gun. The defendant decides not to warn the husband, who then walks outside and is shot and killed by the man.","The defendant and his friend attended a party together. At the party, the friend became extremely inebriated. The friend asked the defendant if she could borrow his car to drive to the liquor store to buy more booze for the party. Although the defendant was aware of the friend's intoxicated condition, he allowed her to drive his car to the liquor store. The friend drove through a red light and collided with the victim's car. The victim was killed in the accident.","The defendant keeps a loaded gun in his house for protection. One day, the defendant leaves the gun on the kitchen table and leaves for work. That same day, a robber breaks into the defendant's home, sees the gun, and steals it. The robber then uses the gun to rob a convenience store. During the robbery, the robber shoots and kills the proprietor with the defendant's gun.",B
"A patient was admitted to a hospital. He had driven his car despite being intoxicated. As a result, he crashed the car into a tree and suffered a broken nose. After a doctor reset the broken nose, the patient was transferred to a room in the west wing of the hospital. In extreme pain, the patient asked the nurse for a painkiller. Without seeking the doctor's approval, the nurse administered an injection of morphine, which the nurse should have known to be an excessive dosage. The patient died an hour after the injection; the cause of death was a morphine overdose. The nurse's injection of morphine to this patient would most likely constitute","a cause-in-fact, but not a legal cause of the patient's death.","a legal cause, but not a cause-in-fact of the patient's death.",a cause-in-fact and a legal cause of the patient's death.,neither a legal cause nor a cause-in-fact of the patient's death.,C
"A defendant, on trial for robbery, took the stand and testified in his own behalf. On cross-examination, the prosecuting attorney asked the defendant whether he had committed false pretenses by making long-distance telephone calls by the unauthorized use of a credit card number. The defendant replied, ""That's a lie, I never did. "" In rebuttal, the prosecuting attorney called the court officer to testif' that the defendant admitted committing false pretenses. The court officer further testified, however, that the defendant was granted immunity from prosecution in exchange for his testimony against others. The court officer's testimony is","admissible, as bearing on the defendant's credibility.","admissible, as bearing on the defendant's guilt.","inadmissible, because the testimony is extrinsic evidence.","inadmissible, because the court order is thebest evidence.",C
"A tall building was under construction in the downtown business district of a city. A lawyer drove her car to the downtown area to go to a meeting with a client. She was running late for the meeting and could not find a legal parking spot, so she decided to park illegally in front of a fire hydrant. This was in violation of a local ordinance that prohibited parking within 50 feet of a fire hydrant. The lawyer figured that it was better to get a ticket than to miss her meeting with an important client. The spot where she parked was next to the site of the construction of the new building. While the lawyer was at her meeting, an accident occurred at the construction site. A large crane was being used to lift a load of bricks. A cable on the crane broke, and the bricks fell. Most of them landed on top of the lawyer's car. The load of bricks that fell on the lawyer's car caused the gas tank of the car to rupture and explode. Shrapnel from the explosion flew in all directions and injured a pedestrian who was talking on the sidewalk near the lawyer's car. If the pedestrian sues the lawyer and relies on the doctrine of negligence per Se, which of the following, if true, is the lawyer's best defense?",Payment of a small fine is the only penalty provided in the ordinance for those who park too close to fire hydrants.,The police never issued a ticket to the lawyer for parking in front of the fire hydrant.,"The purpose. of the parking ordinance was tofacilitate access to the hydrant by fire trucks,not to protect against accidents like the onethat occurred when bricks fell on the lawyer'scar.",The pedestrian would not have been injured ifthe construction company had properly maintained the crane.,C
"A buyer signed a contract to purchase a tract of land from a seller. The contract was signed on May 1, 2006, and the closing is set for June 15, 2006. The land was located in a jurisdiction that has in force the following statute:Statute of Limitations ""an action to recover the possession of land shall be brought within twenty- one (21) years after the cause thereof accrued, but if a person who is entitled to bring such action at the time the cause accrued is within the age of minority (under 21) or of unsound mind, such action may be brought within ten (10) years after such disability is removed. ""This statute was enacted in the jurisdiction in 1930. The land in question had been owned by a rancher in 1960. On September 1, 1960, the rancher died intestate, leaving his nephew as his only heir. The nephew had been born on October 1, 1954. In addition, there is a deed from the rancher's administrator to the seller dated November 1, 1960, which the latter recorded on the same date. During his title search, the buyer learned that the administrator had never obtained any license to sell the land in question; and also he (the administrator) never formally received the approval of any court with respect to the administration of the rancher's estate. Moreover, the buyer ascertained that the seller entered into possession of the land in question on November 1, 1960. On the assumption that there are no additional facts, the buyer should be advised that the seller became or will become the owner of the land in question","on November 1, 1960.","on November 12, 1981.","on October 1, 1985.",when the nephew dies.,C
"A cashier worked part-time at a convenience store. As the cashier was sitting behind the cash register, he noticed a boy enter the store. While the boy walked through the store, the cashier watched him on a hidden camera located behind the cashier's counter. Thereupon, the cashier saw the boy pick up two packs of baseball cards and place them in his coat pocket. The boy then walked to the rear of the store, where he picked up a package of cupcakes. The boy took the cupcakes to the front counter and paid the cashier for the cupcakes only. The boy started to walk out of the store when the cashier said, ""Hey, kid, I'm not charging you for the baseball cards because you paid for the cupcakes. But next time I'm not going to let you get away with it. "" The baseball cards sold for $5 per pack. The boy has committed which, if any, crimes?",Larceny.,Larceny by trick.,False pretenses.,No crime.,A
"A woman owns a tract of land located in a state in the Midwest. On June 1, 2005, the woman sells to a husband and wife an undivided one-half interest in this land for $100,000 (the entire consideration being paid by the husband). The deed to the husband and wife reads as follows: ""To (husband) and (wife) and their heirs as tenants by the entirety, and not as joint tenants, and not as tenants in common. ""On June 1, 2006, the woman sells her remaining interest in the tract of land to the husband and his brother for $125,000 (the husband pays $80,000 of the purchase price, and the brother pays the balance). The deed to the husband and the brother provides: ""To (the husband) and (the brother) and their heirs as joint tenants and not as tenants in common. ""The husband conveys to his cousin all his right, title, and interest under the two deeds from the woman. The husband then dies. The brother then dies. The cousin is thus the owner of",an undivided one-third interest in the land.,an undivided one-quarter interest in the land.,an undivided one-half interest in the land.,an undivided three-quarters interest in the land.,B
"A man entered into a franchise contract with a company to operate a fast-food restaurant in a city. The company's national headquarters is located in another state. After the contract was executed, the man leased a store in a shopping center where he planned to open his restaurant. City public officials, however, refused to grant the man the necessary food vendor's license despite the fact that he could prove that his restaurant complied with all provisions of the municipal licensing ordinance. Section 1287 of the city food vending ordinance provides, in part, that ""a food vendor's license shall be issued to any applicant who properly complies with all of the health requirements of this ordinance. "" After the man's application for a food vendor's license was rejected, he requested a hearing to establish his qualifications. City officials refused this request and also declined to give any reason for his license denial. Which of the following is the strongest constitutional argument that the man may use to challenge the refusal of the city officials to grant him a food vendor's license?",The city action denies him procedural due process.,The city action denies him substantive due process by arbitrarily regulating economic activity.,The city action constitutes an undue burden on the potential interstate commerce between the man and his out-of-state franchisor.,The city action impairs the obligation of the man's contract with the franchising company and his rental agreement with the shopping mall.,A
"The defendant was an off-duty police officer who frequently worked security at concerts on his free time. One night, he was working backstage security for one of his favorite bands when he noticed a groupie sneak in the back door, pick up a guitar, and begin to walk out with it. He drew his service revolver and exclaimed, ""Stop or I'll shoot!"" The groupie looked at him and then fled. The defendant fired at the fleeing groupie, fatally wounding her. Use of force was not authorized by the concert promotion company that employed him. On these facts, if the defendant is charged with murder, he should be found",guilty.,"not guilty, because the killing constituted justifiable homicide.","not guilty, because the killing constituted excusable homicide.","not guilty, because the defendant warned the groupie before he fired his gun.",A
"A land-development company was the owner of a400-acre tract of land in the Southwest. Over the course of time, the land-development company developed two residential subdivisions of the land, an eastern tract and a western tract, each of which contained 150 acres. These subdivisions were created by separate plats that made no reference to each other. The restrictions in the plats were, however, substantially identical. The plats and each deed provided that ""the use of the land herein conveyed is restricted to single-family dwellings only, and this covenant is intended to apply to each and every lot in the subdivision and runs with the land, binding every lot owner, his heirs, and assigns. ""After all but four lots in each subdivision had been sold by the land-development company, it sold 50 acres of the remaining 100 acres of land to a country club by a deed containing the following provisions:""This deed is executed and accepted with the understanding that the property above described is hereby restricted so that(1) said property may be used as a country club, with a golf course, pool, tennis courts, club house, eating facilities, and other improvements appropriate to a country club. (2) said property may also be subdivided and platted as a residential subdivision similar to the eastern tract and the property shall thereafter be used in accordance with and conveyed subject to residential restrictions that shall conform with those restrictions in force against the eastern tract. (3) the restrictions herein contained shall be deemed covenants running with the land, and for breach of any covenant herein, the land-development company, its successors and assigns may, at its option, re-enter and terminate the estate conveyed hereby. ""At the time of this conveyance, the land- development company retained title to the remaining 50 acres in the original 400-acre tract. Thereafter, the land-development company developed an exclusive shopping center on 25 acres of the retained land. In February 2001, the land-development company sold the remaining eight residential lots in the eastern tract and the western tract. The next month, the land-development company executed the following instrument to the country club:""The land-development company, for itself, its successors, and assigns, does hereby release,surrender and quitclaim all rights, title, or other property interest in that certain acres owned by the country club. ""At the time this instrument was executed, the country club had built a club house, golf course, and tennis courts on a portion of its land, and it had 25 acres of vacant land remaining. The country club wishes to commence construction of a new high- rise complex (containing a hotel, shopping mall, apartments, etc. ) on the 25 acres of vacant land it possesses. In an action by one of the homeowners in the western tract to enjoin construction of the complex, plaintiff will most likely","succeed, because the homeowner (or any other landowner in the eastern tract or the western tract) as assignee of the land development company could re-enter the land upon breach of condition subsequent.","succeed, because a common development scheme had been established for the entire 400-acre tract, and the country club's proposed complex would constitute a non-conforming use.","not succeed, because the land development company's instrument of March 2001 effectuated an abrogation of the deed restrictions on the country club's use of its property.","not succeed, because in accordance with deed restriction (b), only a homeowner in the eastern tract would have standing to challenge the country club's proposed construction plan.",C
"On March 1, a homeowner hired a landscaper to landscape his front yard. On March 25, as the landscaper was almost finished with the work on the front yard, the homeowner said to the landscaper, ""I'm very pleased with your work to date. If you are willing, I would like you to landscape my backyard, on the same terms and conditions as our existing contract, the work to be completed by May 1. If you can meet that deadline, I'll pay you $10,000 at that time. "" The landscaper replied, ""Agreed. Let's shake hands on it. "" They shook hands. What is the probable legal effect of the landscaper's promise on March 25 to landscape the backyard?",The landscaper's promise created an enforceable unilateral contract.,The landscaper's promise created an enforceable bilateral contract.,"The landscaper's promise was voidable, since it was not in writing.","The landscaper's promise was illusory, thereby creating an unenforceable contract.",B
"A woman owned a four-unit apartment building and lived in one of the units. When one of her tenants vacated his apartment, the woman placed an advertisement in the local paper that read as follows: ""Large two-bedroom apartment available for rent. White male preferred."" The woman's preference was motivated by the fact that she liked to have a mix of tenants of both genders and from various racial and ethnic backgrounds in her building, and of the remaining rented units, one was rented to an African American man and the other to a Pacific Islander woman. Based upon these facts, which of the following statements is true?",The federal Fair Housing Act makes it illegal for the woman to refuse to rent her units to prospective tenants because of their race or gender.,The woman's motive absolves her from any liability under the federal Fair Housing Act.,There are no violations of any federal laws under these facts.,"Under the federal Fair Housing Act, the woman was not permitted to state a racial or gender preference in the advertisement.",D
"A 15 year-old minor who looks older than his years purchased a car from a private seller. The minor paid $2000 down and agreed to pay the remaining $4000 in installments over the next two years. The minor had to have the car for work because he had no other means of support. The minor later crashed the car in an accident. He disaffirmed the contract, returned the damaged car, and demanded his down payment back. Does the seller have a right to obtain any consideration in this matter?",No the seller must return the down payment because the minor has declared his disaffirmance of the contract.,The seller cannot keep the down payment and cannot obtain any other benefit from the transaction.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,The seller can obtain only the reasonable value of the use of the car in a restitution action.,D
"A defendant shot and killed a victim at close range with a revolver. After the shooting death, the defendant was arrested and charged with first-degree murder. In this jurisdiction, first-degree murder is defined as ""knowingly or willfully causing the death of another human being. ""Which of the following situations, if believed by the jury, would most likely result in the defendant's acquittal of the first-degree murder charge?","The victim, who was the defendant's brother, suffered from an incurable case of cancer and asked the defendant to kill him to put an end to his pain and suffering.",The killing was not done with premeditation or deliberation.,"The defendant intended to kill himself, but the bullet grazed his head and struck and killed the victim.","The defendant intended to kill another man, but the victim unknowingly stepped in front of the other man and was struck and killed by the bullet.",C
"A farmer, being fee simple owner of a farm, devised it to his niece and her husband as tenants by the entirety. The niece and her husband took immediate possession of the farm and lived there with their daughter and son. Thereafter, the husband died in an automobile accident. In 1972, two years after her father's death, the daughter moved to another state. The son lived with his mother on the farm until her death intestate in 1980. The son continued in exclusive possession of the farm until his death in 2001. In his will, the son devised the farm to a local charity. When he was alive, the son was unaware that his sister was still alive and that title to the farm had descended to the two of them as their mother's sole surviving heirs. Since his mother's death in 1980, the son has held himself out as the owner of the farm, maintaining it and paying all of the taxes on the property. The sister had not communicated with either her mother or her brother since her redomiciling in 1972. The jurisdiction in which the farm is located has a 20-year limitation period for the acquisition of property by adverse possession. What interest, if any, does the sister have in the property?","None, because of her own laches.","None, because the brother acquired title to the farm by adverse possession.",An undivided one-half interest because the brother's possession was not adverse to her title.,An undivided one-half interest because the 20-year limitation period did not run against her because she was unaware of the brother's exclusive possession.,C
"A city has adopted the following ordinance which provides:""Section 1: It shall be unlawful for any person, group, or organization to hold a meeting of 50 persons or more in any city park without first securing a city permit;Section 2: The application shall specify the day and hours for which the permit is sought. The fee shall be $10 per hour, with a maximum fee of $50;Section 3: Permits shall be issued on a first come basis; provided that the chief of police shall deny any application if, after hearing the applicant, it is his considered judgment that the meeting would create serious traffic congestion. ""An anarchist planned to hold an antigovernment protest demonstration at a city square. Although his previous antigovernment protest rallies attracted fewer than 15 demonstrators, he decided to apply for a permit pursuant to the city ordinance. After meeting with the anarchist, the chief of police denied his permit application because he believed that the demonstration would incite the protestors and threaten imminent violence or serious disorder. On October 4, the anarchist and his fellow demonstrators staged their antigovemment protest at a city park. The rally attracted only about 17 protestors and was conducted peacefully. As the anarchist was making his final remarks to the gathering, the city police arrived at the park and arrested him and his fellow demonstrators, charging them with violating the city ordinance. In a subsequent action by the anarchist in state court challenging the constitutionality of Sections 1 and 2 of the city ordinance, the court will most likely rule these sections","constitutional, because a state may regulate the communicative impact of speech related conduct.","constitutional, because the aforementioned sections are within the ambit of the state's police power.","unconstitutional, because the statute is vague and overbroad.","unconstitutional, because the statute is a content based regulation ofspeech.",B
"A state statute provides that an illegitimate child may not inherit from his father's property. The state law, however, does permit illegitimate children to inherit from and through their mothers. A man died intestate, leaving neither spouse nor any children other than an illegitimate son. The man's wife and his daughter died one year later in a motor vehicle accident. The illegitimate son filed suit in an appropriate court alleging that the state statute, which bars an illegitimate child from sharing in his father's estate is invalid, and that he should be declared the lawful heir of the man's estate. In challenging the validity of the state statute, will the illegitimate son prevail?","Yes, because most state laws that discriminate against illegitimate children have been invalidated to ensure that a state's concern over illicit relationships is not the basis for punitive measures against the product of such a relationship.","Yes, because he has been deprived of property without due process, since his fundamental right to inherit has been compromised without a compelling state need.","No, because a state may promote the just and expeditious disposition of property at death by denying intestate succession to all illegitimate children.","No, because discrimination against illegitimate children is not suspect and, therefore, the law does not violate the equal protection clause if it is substantially related to a legitimate state interest.",A
"A farmer purchased a new pickup truck from a local automobile dealership. A few weeks later, the farmer was using the truck to haul a load of supplies to his farm. As he drove down a small hill toward an intersection with a stop sign, he applied the brakes, but they failed to work, and the truck did not slow down. The farmer could not stop for the stop sign. He saw a pedestrian crossing the street at the intersection and tried to steer around him, but was unable to do so. The pickup truck struck the pedestrian and seriously injured him. If the injured pedestrian asserts a negligence claim against the auto dealership that sold the truck to the farmer, and if it is conclusively proven that the brake failure resulted from a manufacturing defect in the car, will the pedestrian prevail?","No, because the pedestrian was not a purchaser or user of the truck.","No, if the farmer was negligent in being unable to steer around and avoid hitting the pedestrian.","Yes, because the auto dealer placed a defective car into the stream of commerce.","Yes, if the defect could have been discovered through the exercise of reasonable care by the auto dealer.",D
"A contractor learned that a city intended to open a new grammar school and was going to ask for bids to construct the school. The contractor decided to submit a bid to do the construction. The contractor contacted all of the subcontractors she had worked with in the past, informed them of the specifics of the school construction project, and asked each to submit a bid for the work they would be requested to perform. An insulation company submitted a bid of $25,000 to do the required insulation work in the new school. Based on that and other subcontract bids, the contractor prepared a general bid and submitted it to the city. Three days after the contractor submitted the bid to the city, the insulation company notified the contractor that it had overbooked its workforce and would be unable to perform the insulation work. The next day, the city notified the contractor that she had won the bid to build the school. The contractor was forced to find another company to do the insulation work. The other company charged the contractor $30,000 to do the insulation. Which of the following arguments best supports the claim for $5,000 by the contractor against the insulation company?",The contractor had made an offer to the insulation company that the latter accepted when it submitted its bid.,The insulation company had made an offer that the contractor accepted by using the insulation company's bid in computing the bid it submitted to the city.,"The insulation company's bid was an offer that it was obligated to hold open, because the insulation company and the contractor were merchants.","An option contract was created, because the contractor used the insulation company's bid in computing the bid it submitted to the city and notified the insulation company of that fact.",D
"A gardener sued a homeowner for breach of contract. The gardener claims that the homeowner hired him to perform landscape work at his home. After performing the gardening services, the homeowner paid him $100. The gardener, who speaks only English, contends that the homeowner, who speaks only Japanese, originally agreed to pay him $200 for the work. When the parties entered into their agreement, the gardener was accompanied by his friend, who is now deceased, who spoke both English and Japanese. This jurisdiction has a typical Dead Man's Statute in effect. At trial, the gardener now seeks to testify to the terms of his agreement with the homeowner as communicated to him by his friend. Upon objection by the homeowner's attorney, the gardener's proposed testimony is",admissible as an admission by a party-opponent.,admissible as non-hearsay to corroborate evidence of a verbal act.,"inadmissible, because of the Dead Man's Statute.","inadmissible, unless it is established that the gardener accepted the friend as the homeowner's agent in communicating the terms of the contract.",D
"The president of a pharmaceutical firm received a report from his testing bureau that a manufactured lot of the firmÕs anticancer prescription medication was well below strength. Concerned about being able to fulfill contractual commitments, the president instructed his staff to deliver the defective lot. A cancer patient who had been maintained on the drug died shortly after beginning to take the defective pills. Medical evidence established that the patient would have lived longer had the drug been at full strength, but would have died before long in any event. The president was convicted of murder. On appeal, he argues that his conviction should be reversed. Should the conviction be reversed?","No, because the intentional delivery of adulterated or mislabeled drugs gives rise to strict criminal liability.","No, because the jury could have found that the presidentÕs conduct was sufficiently reckless to constitute murder.","Yes, because distribution of the defective lot was only a regulatory offense.","Yes, because the cancer, not the presidentÕs conduct, was the proximate cause of death of the patient.",B
